80600, 10, Tue Aug 12 13_42_46 2014
254979, 247323, _
254805, 33, Tue Aug 12 13_35_52 2014
248674, 241386, _
248293, 34, Tue Aug 12 13_50_12 2014
24012, 22102, _
24114, 0, Tue Aug 12 13_43_36 2014
117034, 112178, _
118082, 7, Tue Aug 12 13_33_43 2014
935, 0, _
549, 41321, Tue Aug 12 13_59_35 2014
218082, 203043, _
224443, 35, Tue Aug 12 14_00_51 2014
929, 1, _
573, 0, Tue Aug 12 14_00_06 2014
242491, 235351, _
242296, 29, Tue Aug 12 13_54_36 2014
319808, 310362, _
319346, 40, Tue Aug 12 13_36_55 2014
80785, 77419, _
80845, 0, Tue Aug 12 13_42_41 2014
249752, 242284, _
249301, 23, Tue Aug 12 13_35_27 2014
282772, 274975, _
282306, 27, Tue Aug 12 13_58_53 2014
215014, 200151, _
221169, 36, Tue Aug 12 14_01_02 2014
310237, 301323, _
309478, 38, Tue Aug 12 13_56_26 2014
309111, 300180, _
308626, 38, Tue Aug 12 13_56_03 2014
260780, 253112, _
260191, 34, Tue Aug 12 13_48_57 2014
251411, 243971, _
250986, 34, Tue Aug 12 13_52_47 2014
254343, 246750, _
254034, 32, Tue Aug 12 13_47_40 2014
301228, 292819, _
300753, 30, Tue Aug 12 13_58_19 2014
217943, 209837, _
220326, 44, Tue Aug 12 14_00_21 2014
250072, 242794, _
249823, 31, Tue Aug 12 13_34_22 2014
304960, 296458, _
304433, 37, Tue Aug 12 13_58_47 2014
309657, 300787, _
309546, 41, Tue Aug 12 13_37_36 2014
237579, 230526, _
237342, 41316, Tue Aug 12 13_53_36 2014
244434, 237129, _
244278, 30, Tue Aug 12 13_35_16 2014
302169, 293965, _
301834, 37, Tue Aug 12 13_59_27 2014
290023, 281771, _
289232, 35, Tue Aug 12 13_55_20 2014
219177, 204311, _
225533, 35, Tue Aug 12 14_00_44 2014
253250, 245676, _
252825, 41334, Tue Aug 12 13_52_07 2014
299139, 290610, _
298333, 25, Tue Aug 12 13_56_49 2014
12377, 10709, _
12370, 4, Tue Aug 12 13_45_35 2014
935, 0, _
549, 41321, Tue Aug 12 13_59_37 2014
215078, 200249, _
221530, 29, Tue Aug 12 14_00_41 2014
252170, 244732, _
252004, 41289, Tue Aug 12 13_34_24 2014
